Channel,imaqtpie,Reckful,RatedEpicz,LIRIK,Nightblue3,nl_Kripp,Meteos,sneakylol,Doublelift,Amaz,IzakOOO,SilverName,Castro_1021,TimTheTatman,YoDa,CohhCarnage,hanryang1125,Dyrus
Language,English,English,English,English,English,English,English,English,English,English,Polish,Russian,English,English,Portuguese,English,Korean,English
2018-03-09,0,0,0,167574,0,69903,0,46473,0,45639,0,0,24344,106787,104597,19369,0,18374
2018-03-10,63007,0,0,166285,108486,54429,0,56565,0,0,0,93880,19888,72288,76043,56346,77026,17592
2018-03-11,149535,0,0,205094,18330,55929,0,0,0,0,1148,0,17231,0,111539,65059,58167,15555
2018-03-12,200739,0,0,153789,46976,64766,17973,86274,0,55357,0,84173,0,57395,147047,58138,66397,27519
2018-03-13,148481,0,0,148030,0,82034,14162,176631,0,59169,0,87282,17567,114714,128309,55790,60709,0
2018-03-14,8303,0,0,217212,61606,83953,0,0,0,62018,0,74322,8392,178783,75848,26930,57725,70615
2018-03-15,171484,0,0,15247,53928,47039,0,48035,21523,82436,0,77968,31266,58747,67640,58642,64670,0
2018-03-16,0,0,0,141017,4880,62970,0,55977,0,71433,0,0,52036,102356,93358,38069,0,26806
2018-03-17,131976,0,0,12557,62971,69265,0,52996,0,0,0,53900,37140,0,58607,51247,77562,38802
2018-03-18,154135,0,0,186058,61014,72944,0,0,0,0,0,105316,19905,0,51108,58582,76102,11214
2018-03-19,172654,0,0,266522,49600,65180,0,0,0,63628,0,96865,0,59450,83737,48884,71450,62387
2018-03-20,158684,18484,0,246717,8897,52078,8793,53712,0,11383,42478,0,21504,118451,173071,102376,84862,39493
2018-03-21,215881,48160,0,199635,0,63882,0,31871,0,53699,44325,45234,21316,117926,0,58505,81417,27745
2018-03-22,190665,0,0,40724,54269,101231,0,36500,0,26163,41013,57880,49543,98655,19308,55370,58828,21555
2018-03-23,0,0,0,277535,33701,70599,0,40888,0,17193,195184,0,18028,103782,96195,100845,0,25365
2018-03-24,126479,83930,0,135033,0,54922,22360,0,0,10080,17497,0,0,110994,86779,73602,79168,668
2018-03-25,158266,0,0,197684,44693,37259,11201,0,0,0,250396,0,21245,0,56945,57147,71822,12049
2018-03-26,185414,0,0,180443,27680,40004,0,137228,0,41803,39369,0,28925,49226,100866,204737,99352,51097
2018-03-27,182813,0,0,188327,36097,51423,4600,126238,0,43723,17702,60255,0,118830,116839,126208,76151,27167
2018-03-28,0,0,0,12813,36796,52216,13452,132209,0,79110,42459,80117,209,123278,78754,59218,72189,12884
2018-03-29,237991,0,0,12701,31185,54986,5331,109222,0,44396,1038,73243,7424,100437,19391,96015,99198,0
2018-03-30,93215,0,0,156400,39750,70732,0,119492,0,54113,45854,5094,6767,124345,107625,84753,0,40861
2018-03-31,103082,0,0,167200,31626,66112,0,107163,0,0,36929,0,0,83324,81990,58799,187786,0
2018-04-01,174756,0,0,205715,0,71835,8639,151186,0,0,0,122401,8552,0,0,51118,213583,777
2018-04-02,211272,0,0,212392,51060,49837,15362,141478,0,44462,0,118750,0,62690,0,80327,92073,33996
2018-04-03,186750,0,0,151303,57953,51409,19536,122436,0,43054,58096,63406,172,107833,0,81356,88159,34564
2018-04-04,185342,0,0,21827,0,53629,0,112771,0,85344,36369,61595,14458,168251,1737,86021,0,0
2018-04-05,51934,0,0,17960,52713,0,0,108443,0,37225,36387,68838,25748,124817,92913,67823,106094,0
2018-04-06,91668,0,0,11454,0,82608,0,114575,0,34463,0,2566,8908,0,100393,76146,0,82688
2018-04-07,137068,0,0,220284,107271,81922,0,144396,0,41445,20315,75625,6853,0,0,75096,81876,1576
2018-04-08,0,0,0,178999,107848,69802,0,0,0,0,0,93366,0,0,0,84575,110249,36363
2018-04-09,194137,0,0,253246,29155,62640,0,148685,0,68753,42145,109639,13924,51927,0,5724,90392,0
2018-04-10,165494,0,0,181844,0,77373,5395,130209,0,45451,15816,125938,5919,130359,43566,70531,87542,35231
2018-04-11,170310,0,0,146108,101455,79315,15595,92560,0,96836,217918,3719,11125,130574,127566,66063,79798,0
2018-04-12,205895,0,0,19109,90504,489159,802,168469,0,102639,40118,126540,18517,108806,100642,53097,80900,68010
2018-04-13,33582,55940,0,154818,0,305173,17675,100092,0,45315,0,155837,18534,58834,28462,72525,76180,28152
2018-04-14,226569,29039,0,177720,84834,139317,18444,73493,0,0,0,125890,0,73879,80559,83015,0,12788
2018-04-15,59327,0,0,208039,0,152798,37281,0,0,0,0,99365,0,0,0,89398,91363,41732
2018-04-16,278522,0,0,222804,0,140212,4045,157235,0,78146,23779,0,20296,61061,0,70019,72228,5727
2018-04-17,162570,0,0,206665,61953,131851,0,86230,0,64858,58179,97980,7659,124728,0,66122,75236,24529
2018-04-18,153090,0,0,198278,21252,116145,0,107008,55841,48778,44765,91348,0,109526,73806,34884,0,18528
2018-04-19,185393,0,0,17859,7444,114005,0,88310,129173,44499,39448,47269,9945,172263,68689,68633,89884,21748
2018-04-20,0,0,0,286353,0,88159,1717,59339,106746,2619,0,83168,12474,0,0,220872,82752,111250
2018-04-21,184480,7675,0,360312,0,82042,19183,88740,41026,0,0,0,0,0,20741,231211,85818,31051
2018-04-22,185157,0,0,40394,0,89614,58140,75405,0,0,0,0,13766,0,119251,205539,82372,0
2018-04-23,189974,0,0,265343,0,100873,25940,0,58738,68722,56496,76252,18284,1366,115069,79035,63041,15379
2018-04-24,184906,0,0,227669,0,85819,0,11540,170591,6091,71084,9075,0,139295,0,110307,81226,10324
2018-04-25,192292,0,0,244828,0,99716,0,70604,103642,74061,29585,76456,3141,140899,136896,60271,72607,3532
2018-04-26,190684,0,0,34017,0,30561,0,82752,0,114695,33240,145354,7905,132035,99311,72624,79227,24243
2018-04-27,0,16412,0,167187,0,110616,0,51129,0,27210,0,91445,77245,142056,0,59509,0,11101
2018-04-28,168929,0,0,160986,0,84552,0,72174,0,0,0,0,41507,115076,0,7470,96265,668
2018-04-29,161266,0,0,159812,0,105846,0,3866,0,0,0,0,30327,0,0,62108,123931,45760
2018-04-30,81056,0,0,168083,0,88036,7381,112787,82772,50820,0,90378,25695,69840,0,55972,51312,5979
2018-05-01,181418,0,0,155380,0,98246,22988,116088,0,37892,37778,28875,14706,128383,3886,71979,80199,21464
2018-05-02,163519,0,0,179212,33565,43509,37403,73346,0,37201,33319,0,22275,326885,45875,31517,74245,0
2018-05-03,163163,0,0,7866,0,71078,23797,97279,0,0,35277,67863,0,243317,102499,68698,70495,13437
2018-05-04,0,0,0,9024,0,52537,21493,70764,0,0,35185,47389,85923,350900,97099,128248,0,12465
2018-05-05,133225,0,0,145754,0,70931,23952,105721,0,0,36586,60141,37080,98059,69288,94377,0,10421
2018-05-06,153141,0,0,167975,0,82900,19748,0,0,0,43490,0,21702,0,65502,99264,0,54240
2018-05-07,149253,0,0,158803,76363,79012,0,104794,0,37591,22727,95613,0,68159,0,67619,0,2526
2018-05-08,130062,0,0,167604,40468,81517,0,99319,0,39888,40767,29928,45525,150509,0,75932,0,23118
2018-05-09,100191,0,0,116277,50877,77436,6000,67756,0,24001,31902,51424,38860,249774,0,34279,107492,22493
2018-05-10,94118,0,0,12533,66266,84811,0,104574,0,39723,40066,47005,30798,71230,134811,66248,93061,5813
2018-05-11,84672,0,0,161212,0,74695,1565,91834,0,55667,18571,0,59597,138179,138377,48100,88966,18537
2018-05-12,106970,0,0,148955,48200,66376,5723,66211,0,0,32401,18179,23934,121148,83843,25084,110149,20701
2018-05-13,114786,0,0,187690,50727,75909,0,64376,0,0,56111,9835,72439,0,0,57379,98462,14354
2018-05-14,98772,0,0,214794,0,75354,0,58103,0,37479,16556,44067,40139,70413,161582,70326,80137,56643
2018-05-15,67133,0,0,167993,49979,40392,0,0,0,36184,281,98436,37353,136472,106314,139223,71780,8694
2018-05-16,176134,0,0,147097,0,64298,14158,66616,0,52791,0,28770,39759,171278,169811,53851,95566,6697
2018-05-17,205499,0,0,7861,45629,74240,26576,56954,0,29248,0,0,0,259493,83685,60919,73485,31464
2018-05-18,0,0,0,139879,45296,72303,9896,99803,0,52957,0,0,52798,57937,97070,38278,0,0
2018-05-19,150509,0,0,110477,0,49208,6075,78427,0,0,0,0,32950,123291,114937,73084,85500,14454
2018-05-20,134760,0,0,168264,10075,61864,38432,34773,0,0,37296,6387,37660,0,87947,110327,97601,22583
2018-05-21,169677,0,0,156957,42491,77271,2666,0,0,59806,13332,6835,28036,70637,138589,95905,68708,27960
2018-05-22,150136,0,0,144716,57008,87170,13547,82289,0,46187,50186,12495,0,157155,127823,90459,0,15663
2018-05-23,186086,0,0,214348,59550,68097,0,34365,0,21932,23912,0,0,237234,126120,39650,90216,30656
2018-05-24,217069,0,0,0,36916,0,0,41277,0,22477,32495,0,0,194807,88712,148737,125353,16047
2018-05-25,6828,38664,0,245528,58511,27762,0,42660,0,34216,2862,0,34133,158868,0,179641,96046,1701
2018-05-26,153876,0,0,187341,52621,67653,4258,32471,0,7015,0,0,27298,101712,0,94028,67999,30061
2018-05-27,185326,0,0,225362,65769,72157,15998,41824,4661,0,4327,0,33806,0,127208,117195,99044,28777
2018-05-28,144772,0,6,213319,59287,71494,29816,0,10044,28931,20281,39416,0,0,146475,52779,64203,20397
2018-05-29,152142,0,0,166288,0,63893,19746,30747,29393,30068,34824,50773,212575,139076,89259,70106,0,894
2018-05-30,130010,0,0,23050,54528,64149,3180,30551,8355,29000,31568,42046,85003,194558,53115,37891,74729,18496
2018-05-31,226444,0,0,11332,33097,73255,0,42756,0,25434,46290,0,74283,156453,94676,62406,79812,6143
2018-06-01,0,0,0,140168,68632,69219,0,38048,32881,24248,26242,53568,58036,177500,137545,61815,81128,12086
2018-06-02,178246,14718,0,216839,48006,97828,11208,50429,0,23894,107791,34075,48228,92048,160159,138934,93628,14073
2018-06-03,225269,1414,0,185922,60417,67538,13261,35313,29251,0,136922,50138,47850,0,117311,111322,84846,3185
2018-06-04,168662,0,0,173918,41430,77055,0,0,0,29016,26555,58267,46802,102575,118234,85913,69000,64290
2018-06-05,84950,0,0,192078,34870,72887,0,60611,41342,27750,49936,59416,0,295721,92846,118219,74893,43706
2018-06-06,147663,64058,0,200323,12888,66006,0,63660,0,40437,58730,0,46622,198095,196151,55334,0,41139
2018-06-07,188009,75416,0,20461,43961,71035,0,54095,0,33290,0,77791,27533,133433,110876,65469,85709,19866
2018-06-08,0,0,0,173327,62303,66970,0,0,0,29958,0,62484,33765,297220,73206,75791,82186,19060
2018-06-09,209355,0,131,265112,40725,0,0,38129,13903,0,0,37266,0,152701,120334,48087,89995,22415
2018-06-10,210027,0,189,342830,57047,58180,0,29183,0,0,0,0,0,0,55968,53553,99892,16749
2018-06-11,0,0,207,0,54298,79214,0,52478,0,76919,0,69608,0,0,0,51960,85955,45522
2018-06-12,174123,0,40,32488,55078,81119,16971,32295,0,49416,28089,60375,36030,0,57207,86806,83711,14247
2018-06-13,177001,0,17,0,0,53625,14862,20799,17850,39931,21031,83221,34166,0,33444,78785,89223,19418
2018-06-14,173771,0,138,0,0,69482,12583,0,0,25750,0,7604,20802,76841,0,101253,114185,60750
2018-06-15,110523,60266,0,143415,32811,69234,12935,30534,45931,32360,0,39714,0,202481,0,96997,0,16106
2018-06-16,0,0,0,216378,36673,66463,0,0,0,0,39761,47392,0,128266,0,84216,120745,35790
2018-06-17,86195,0,488,221940,37354,68609,0,53942,360,0,44853,35015,60115,0,48498,58603,97276,13734
2018-06-18,178743,0,69,190812,39901,66826,0,25799,75854,0,0,63772,14519,140209,135229,81264,128138,30945
2018-06-19,164556,0,222,212767,0,71063,0,22642,0,0,0,0,0,0,75709,97640,119259,20665
2018-06-20,149327,0,0,56017,56857,72924,0,0,0,0,0,28573,33776,0,65440,51280,89975,22498
2018-06-21,140416,0,0,11303,49348,66525,0,25617,0,0,0,44041,0,0,106574,80171,79510,18744
2018-06-22,10151,0,37,139450,0,72868,0,11804,0,0,659,40803,0,0,93550,80143,0,22788
2018-06-23,78039,0,347,151939,37350,64639,0,47883,27803,0,67727,36372,42286,0,82228,77123,77907,33867
2018-06-24,99446,0,0,171660,0,62309,0,34754,16882,0,0,16692,0,0,58585,74798,85666,33687
2018-06-25,111232,0,0,158977,39294,71843,5666,57857,38968,33856,0,58312,0,104275,164877,72393,91568,39041
2018-06-26,94849,0,65,165495,49114,0,9243,61539,0,30666,0,72648,0,287259,95861,57949,98315,12921
2018-06-27,113657,0,0,0,37092,60008,0,0,0,34398,0,82169,2899,100608,47229,45447,112447,16156
2018-06-28,116521,0,0,0,44789,63830,0,37171,0,15006,12798,50593,0,261333,48814,63862,77900,63444
2018-06-29,60064,0,2,157013,16703,62142,0,19459,0,31769,0,9577,0,271034,117824,54494,0,5087
2018-06-30,5167,0,0,124775,53853,52267,0,27880,0,0,16253,0,0,182732,152441,94315,98999,24701
2018-07-01,0,0,27,147294,73892,55671,0,40248,10737,0,0,58771,0,0,127453,85733,0,35849
2018-07-02,103305,0,152,132697,57401,0,0,58340,0,39068,17867,57019,500,105179,53863,62785,0,35091
2018-07-03,110114,0,166,44429,40903,56837,0,51937,0,35258,5948,69305,0,250555,185606,56551,106008,32923
2018-07-04,144630,0,0,15319,55726,67402,0,0,0,49247,24136,79822,0,236034,174401,48279,75268,56681
2018-07-05,47702,0,50,11474,46494,64505,0,18905,0,44827,21959,26750,0,0,153907,81660,88563,2703
2018-07-06,4253,0,0,120388,24647,67454,0,13698,0,0,0,57374,0,56624,58875,71660,83240,49382
2018-07-07,61704,0,287,136735,57662,73791,0,19646,0,0,0,40641,0,114093,0,35062,78784,42004
2018-07-08,62882,0,114,155253,117481,63234,0,0,0,0,41778,0,0,0,0,42986,85420,76993
2018-07-09,103888,0,0,144813,20932,73800,0,49382,0,33650,23554,49474,0,136769,56058,95914,0,26966
2018-07-10,99546,0,0,135024,24710,39703,0,0,0,0,14391,87544,6690,227818,120330,76982,1647,38659
2018-07-11,99883,23744,113,114989,48719,73590,0,20582,0,36108,12986,91450,7291,111222,129334,50409,1156,24443
2018-07-12,119943,0,0,9014,46064,73421,0,19220,34592,23668,40675,83478,0,398559,162032,59264,2739,33324
2018-07-13,20137,0,0,118283,43771,68650,0,30811,0,32916,9570,41916,0,400993,130326,76720,172,14355
2018-07-14,59382,0,0,113316,38460,51163,0,34344,27999,0,94570,71332,0,168976,80726,67331,0,30854
2018-07-15,52061,4289,0,153787,22009,36944,0,0,0,0,41630,0,90,0,106204,75936,49109,35882
2018-07-16,82454,0,0,120187,41441,70685,0,68370,7327,32020,17231,66622,0,148046,164698,66443,92785,9478
2018-07-17,81352,0,0,112325,41635,76442,0,71162,58755,20708,29721,79886,0,363624,154167,61334,77979,30542
2018-07-18,111587,0,0,7604,47563,69081,0,16192,0,20932,24793,0,23958,284749,169317,36089,110677,18108
2018-07-19,100334,0,0,14271,57869,76463,0,30665,0,0,38257,96869,0,300157,89435,54270,75770,14714
2018-07-20,12620,6405,0,122485,56393,63241,0,25640,0,0,59480,64581,0,291385,130188,44322,0,14854
2018-07-21,44551,0,166,122508,25135,57709,0,0,0,0,67917,67752,0,152413,140470,31920,95432,22304
2018-07-22,65214,0,0,134103,15224,67538,0,28226,18023,0,29449,29813,0,0,90697,117614,97361,10890
2018-07-23,94704,0,0,105093,58364,63079,0,79372,15354,0,41633,77721,0,129151,127057,69053,102570,15632
2018-07-24,105978,0,0,212174,0,64357,0,49988,38270,6066,29468,49883,0,217939,54765,114371,79165,17516
2018-07-25,114131,58109,0,105381,15376,55632,0,0,0,4237,32968,0,11769,255306,150543,77903,93331,15978
2018-07-26,153801,41198,0,8607,0,54047,0,45054,0,0,38551,38586,18629,118867,153137,89732,97708,38439
2018-07-27,8041,75246,0,141068,0,7663,0,0,0,0,0,66808,0,0,110361,67922,0,13573
2018-07-28,67178,111409,0,119203,32048,61533,0,26825,36656,0,0,0,0,0,105187,76567,135658,47247
2018-07-29,65184,53014,0,147695,0,67708,0,32625,0,0,57411,62960,9064,0,3295,84546,178608,46434
2018-07-30,111408,54061,0,138177,18070,69293,0,69470,6347,0,42530,0,0,0,135931,79982,102722,29358
2018-07-31,148143,5806,21,156072,15229,29376,0,20281,120900,0,31298,0,0,0,68522,0,0,17674
2018-08-01,135741,52643,0,9351,0,68890,0,0,0,0,3750,0,0,0,122461,54201,106798,19295
2018-08-02,130316,18125,0,8811,25335,70426,0,32458,0,0,0,85605,0,0,62460,57753,81115,31932
2018-08-03,100274,0,0,124083,42428,67213,0,0,31486,0,0,77260,0,162705,131774,68330,69894,6576
2018-08-04,4087,0,0,122594,73283,127050,0,33594,33879,0,6558,74997,0,160539,184088,83904,110334,42754
2018-08-05,65201,68348,0,141908,40049,0,0,15585,0,0,36505,64087,0,0,52675,87668,106394,21209
2018-08-06,106932,0,0,132585,0,7862,0,0,0,16803,24844,0,0,113752,73941,78201,112782,20647
2018-08-07,102979,39551,0,118719,0,350952,0,57092,0,27838,27083,163220,18001,218934,115471,86085,59639,28704
2018-08-08,119380,35262,0,135036,0,227183,0,0,0,20808,22302,150050,19108,228979,142031,61361,0,57476
2018-08-09,115772,0,0,11383,0,120470,0,32706,0,25640,31514,94211,0,219380,107547,134488,0,22087
2018-08-10,0,54263,0,103802,0,112860,0,0,20267,36503,24511,65869,0,251872,77272,108210,0,25296
2018-08-11,26211,0,0,79307,0,99857,0,16993,0,26475,60679,0,0,111250,102480,89956,122038,53555
2018-08-12,53710,163778,0,167142,0,105116,0,36670,0,0,32458,0,0,0,0,94558,84238,0
2018-08-13,105438,270802,0,241843,40409,114134,0,0,32332,36953,0,76803,0,62559,126654,60586,77107,20977
2018-08-14,125521,117122,0,299733,0,55588,0,17791,22151,44489,0,71260,0,314041,74911,20760,68377,31440
2018-08-15,120182,40434,0,116978,0,67195,0,0,0,32195,0,53340,0,81865,71619,47812,88519,40821
2018-08-16,119031,109300,0,7879,0,61742,0,26458,0,42668,0,62049,0,159883,153773,105624,73372,40949
2018-08-17,75487,0,0,107282,0,64018,0,0,41261,0,42689,0,0,168539,111926,117991,0,31770
2018-08-18,0,0,0,116085,17643,70432,0,23956,0,0,0,41580,0,66519,0,97517,93441,38480
2018-08-19,49593,0,0,146311,0,65088,0,0,0,0,24152,40833,0,793,23088,99283,113836,0
2018-08-20,75115,0,0,143112,0,80174,0,0,17716,36408,214,0,0,83318,179190,114446,73371,0
2018-08-21,82345,0,0,82464,0,65910,0,62733,3554,44744,0,17334,0,250528,128956,74478,87935,0
2018-08-22,98173,0,0,16543,0,115975,0,24826,0,30273,0,0,0,118976,109339,79984,80656,0
2018-08-23,133359,84255,0,11364,0,65978,0,24870,0,13508,8324,76511,0,254813,154607,56799,69674,0
2018-08-24,5961,4963,0,100257,0,57348,0,23982,0,30671,20062,48387,0,241091,123867,64073,0,0
2018-08-25,15007,63785,0,95833,0,65176,0,50789,14989,0,18977,38415,0,169249,62479,77568,92633,0
2018-08-26,81190,0,0,150850,39739,51614,0,33528,0,0,0,7961,0,0,0,67355,94263,0
2018-08-27,98155,0,0,176615,40883,65453,0,81578,0,27777,42951,57789,0,107520,111396,104824,90250,0
2018-08-28,121293,140459,0,86433,0,17024,0,13800,0,21712,37665,57678,0,216966,0,75856,74062,0
2018-08-29,124231,64106,0,131896,48166,0,0,20746,0,27702,35537,22834,0,297698,174148,45643,88448,0
2018-08-30,125690,0,0,0,30089,70273,0,0,0,26001,24183,45000,26260,238536,97843,56176,91183,0
2018-08-31,46307,80258,0,0,5842,68290,0,0,0,34738,292,35433,22915,251881,0,79394,85753,0
2018-09-01,19683,33656,0,138530,0,65393,0,0,0,0,0,0,11286,135740,0,107107,137680,0
2018-09-02,72991,47670,0,139421,0,67185,0,0,0,0,0,0,0,0,0,102252,95301,0
2018-09-03,122765,94402,0,127417,0,42521,0,58443,0,31470,30848,57176,0,96568,26111,110101,0,0
2018-09-04,90743,0,0,81423,0,51183,0,0,0,18262,2336,59540,17303,218669,125052,60958,0,0
2018-09-05,109894,0,0,82124,0,62589,0,0,0,10239,188037,11475,13659,240114,0,42593,74049,0
2018-09-06,128862,0,0,0,0,57775,0,0,0,11681,188912,0,0,176729,142401,73551,95698,0
2018-09-07,3835,0,0,204744,0,55759,0,0,0,23482,165616,0,0,122502,65525,101548,97047,0
2018-09-08,0,77691,0,158393,33684,56874,0,0,0,5546,108805,28773,0,0,0,93442,73406,0
2018-09-09,0,0,0,158339,0,56736,0,0,0,0,79120,28284,0,0,29613,86328,105356,0
2018-09-10,133494,0,0,147865,23491,60793,0,0,0,29930,13819,21806,0,195776,152835,56229,76787,0
2018-09-11,87900,0,0,160635,0,65859,0,0,43509,14479,562,26581,0,271422,113405,49040,0,13208
2018-09-12,86944,25037,0,93426,0,60616,0,22863,45019,26825,113326,14297,34165,190146,107337,56630,86003,4495
2018-09-13,91620,0,0,0,0,53386,0,0,0,0,99474,0,18654,122369,32254,70170,61831,32899
2018-09-14,5696,1723,0,101198,39786,49555,0,12484,0,18647,114416,0,12396,188071,96848,18361,71970,18810
2018-09-15,55103,15159,0,124798,0,57036,0,0,0,0,72192,25513,0,114844,27616,65006,85267,17157
2018-09-16,36684,0,0,125126,0,54100,0,0,0,0,120598,0,0,0,0,51561,96392,4798
2018-09-17,106793,0,0,164886,0,41703,0,0,0,17895,0,30076,0,111454,85163,88339,0,16330
2018-09-18,76783,0,0,130986,43895,40305,0,117950,142401,15242,19816,21824,0,222602,148627,63589,91353,1272
2018-09-19,81642,0,0,101887,0,45815,0,109310,43423,18342,0,24079,231165,196733,164576,51908,83857,9159
2018-09-20,70352,0,0,0,31444,56624,0,35940,0,12479,51062,0,189896,168629,134321,60380,80814,16137
2018-09-21,6207,0,0,0,16510,53744,0,47033,0,8132,68583,42101,137249,233999,142855,69740,97100,8674
2018-09-22,143683,0,0,130872,0,53848,0,0,0,0,67085,5306,132456,106936,147436,68252,72481,14875
2018-09-23,107388,0,0,166605,3193,71659,0,39766,78723,263,85154,18737,168314,0,199420,71753,0,0
2018-09-24,70370,0,0,133102,62100,65527,0,48003,0,30532,0,43879,170960,59163,145835,64037,0,5487
2018-09-25,91292,0,0,122185,37950,59388,0,0,3256,14917,6606,29149,142394,151914,106796,102577,76132,23057
2018-09-26,73565,45067,0,110210,44774,34823,0,0,20861,17162,21417,26085,122592,133973,93968,76939,100880,11934
2018-09-27,107548,69822,0,0,0,58457,0,0,33810,0,46788,27847,87850,194208,111290,104139,101067,13327
2018-09-28,16448,13010,0,0,41179,25954,0,0,0,11656,33870,25304,118325,149770,116433,102467,0,10547
2018-09-29,106533,30934,30,123943,59039,59021,0,0,0,0,51651,6454,111169,138881,86047,113327,100940,12996
2018-09-30,94123,62648,0,156773,73918,59552,0,0,0,0,16468,29137,8103,0,192788,117441,100751,14635
2018-10-01,70846,75651,0,107069,5513,74269,0,0,0,14572,10063,402,117384,79362,136930,102640,126751,7095
2018-10-02,91949,50508,0,114231,27229,34293,0,0,0,14085,23098,23545,114187,207940,71599,115471,114226,14750
2018-10-03,92852,76231,0,130958,58998,57333,0,0,0,14526,29614,0,116675,150016,77867,58291,106773,15215
2018-10-04,110129,178574,0,0,24580,59175,0,0,0,9998,15911,18190,102073,185136,68004,106097,99600,11650
2018-10-05,7942,219167,0,124068,84606,63139,0,0,30579,10921,21822,0,67846,216485,97648,71609,0,14544
2018-10-06,110535,235757,28,116634,0,53083,0,0,0,0,580,0,86024,123358,152256,43044,131090,10950
2018-10-07,159807,149580,0,153201,19254,46808,0,0,0,0,19383,14718,112804,0,64491,78629,136766,13883
2018-10-08,112630,153096,0,35337,0,62722,0,0,0,0,16889,34704,123560,173487,127711,73406,94606,11973
2018-10-09,113710,92361,0,132423,112100,60878,25656,0,0,8943,23737,41921,99724,157978,96138,115206,0,15173
2018-10-10,103557,159076,0,106712,41088,62242,0,0,0,22350,56428,0,117233,222543,11279,43383,83543,7603
2018-10-11,125950,180977,0,13072,32187,71330,0,0,0,31140,0,42804,194139,118598,0,106766,80922,6412
2018-10-12,12792,88959,0,133470,0,41376,0,0,0,8276,1521,46922,114679,275082,966,64334,110909,5556
2018-10-13,106565,95246,100,133960,27099,53747,0,0,0,0,6463,45048,9999,129841,0,49603,86542,3943
2018-10-14,123242,116376,2,145190,23428,48557,0,0,0,0,0,5687,0,0,0,59829,74976,9231
2018-10-15,95980,132474,11,134733,25966,55390,59,0,0,0,0,50946,132149,82958,238046,86909,97585,12357
2018-10-16,0,129067,0,131310,28054,63566,11280,0,0,23302,25083,41305,75427,155286,69309,72741,86430,6645
2018-10-17,0,82926,0,87483,55641,46404,0,0,0,59745,15378,0,90463,156650,135044,34287,91270,10254
2018-10-18,0,0,220,0,83465,60570,0,0,0,18139,12386,53260,166942,153831,144128,35655,107732,9547
2018-10-19,120633,45963,0,0,58394,65967,0,0,0,8544,0,51834,118259,181322,210052,59419,0,30607
2018-10-20,96226,91093,80,9213,25107,54132,0,0,0,5734,15456,50011,96627,95509,152862,36502,109561,26248
2018-10-21,118048,39099,17,158126,0,50848,0,0,0,372,15366,47764,75556,0,222623,70963,109036,28087
2018-10-22,114415,0,71,114466,43701,70071,309,0,0,11447,18675,0,102253,73568,208806,56958,0,18334
2018-10-23,139047,31494,0,139506,44325,32576,17903,0,0,9383,16403,41846,0,119869,133203,82319,90743,14850
2018-10-24,144540,2305,80,112165,0,57027,34733,0,0,9334,13337,43817,139965,176020,72362,65807,110687,9421
2018-10-25,17432,0,0,21441,79205,44486,14561,0,0,2025,20009,23061,153101,225680,177379,21820,163025,4916
2018-10-26,0,0,0,327411,104780,0,2051,0,0,0,8229,37374,103114,0,0,19716,126761,21523
2018-10-27,0,8651,289,360585,19552,15378,3578,0,0,0,11501,0,89937,0,0,38270,125578,16530
2018-10-28,0,0,158,305684,121885,13465,0,0,29999,0,7434,28032,105616,0,0,22483,138266,13862
2018-10-29,19280,0,329,211080,80926,16879,0,0,0,9157,0,23332,104755,0,0,128273,94629,14967
2018-10-30,166142,0,54,178098,0,16970,0,0,5461,6762,2902,26333,0,173855,0,158694,96490,8641
2018-10-31,135905,0,185,145961,50594,48306,0,0,17270,18145,0,46015,83585,250190,123883,55274,99297,5806
2018-11-01,127083,0,4,477,0,13314,0,0,0,12081,0,57921,188804,78214,191779,134170,98538,6664
2018-11-02,30854,0,0,155200,0,18734,8613,0,0,13592,4224,0,96431,166747,72264,72359,0,0
2018-11-03,176399,0,174,176991,0,18926,0,0,0,9564,14320,42889,78755,153208,134568,70548,128387,0
2018-11-04,163713,0,216,77758,0,22337,1092,0,0,0,0,35853,81022,76711,102751,158623,113182,3280
2018-11-05,104676,0,60,130148,0,21491,14429,0,0,14568,18969,40144,108586,78965,141340,79908,121465,11027
2018-11-06,150898,0,488,156637,0,63584,22029,0,1082,0,20641,39319,111208,181284,145419,65370,86195,10255
2018-11-07,111395,0,5,149354,28250,48424,0,0,51874,9578,13322,0,846,200849,170332,59149,156021,13355
2018-11-08,91676,0,252,815,50566,43087,0,31701,29994,9807,17742,46563,105033,163599,184965,95424,148858,16423
2018-11-09,60175,0,52,139207,59482,64071,0,122848,8732,6661,24833,41926,122941,204551,156281,119223,0,18773
2018-11-10,137022,0,0,90264,57952,95272,0,24986,32977,0,1831,0,10266,101890,112150,98219,132652,15625
2018-11-11,198124,0,0,172996,0,86679,0,114948,5729,0,22647,56088,95610,0,116320,82725,120474,42208
2018-11-12,179774,0,0,120062,0,88568,0,92306,15047,14367,26863,55003,121419,80403,666135,83065,118217,10869
2018-11-13,231932,0,0,133270,0,46499,0,131071,0,6493,33320,46856,45983,194004,5777,61454,130793,9624
2018-11-14,111288,0,0,114179,0,44662,0,60452,43949,7782,19558,49739,83376,188865,45630,286424,110455,9401
2018-11-15,149330,0,0,0,38376,42880,0,60105,0,5328,22206,54385,123728,162240,0,222615,0,4661
