Channel,imaqtpie,Reckful,RatedEpicz,LIRIK,Nightblue3,nl_Kripp,Meteos,sneakylol,Doublelift,Amaz,IzakOOO,SilverName,Castro_1021,TimTheTatman,YoDa,CohhCarnage,hanryang1125,Dyrus
Language,English,English,English,English,English,English,English,English,English,English,Polish,Russian,English,English,Portuguese,English,Korean,English
2017-01-09,282761,17697,0,136341,114346,104052,5521,0,39560,80465,37645,71749,233133,47160,0,58332,53586,0
2017-01-10,256599,72368,0,144400,0,97671,9059,136292,151865,56905,32629,78127,164803,92220,0,61546,46094,7046
2017-01-11,248278,16788,0,160092,112506,56427,25087,60768,171616,68536,43702,60397,55453,94927,0,42781,52588,19947
2017-01-12,272611,0,0,0,63645,57462,0,0,150280,61610,172802,90685,129493,103844,0,56109,51801,7986
2017-01-13,267035,5722,0,145915,89142,60528,0,87450,146141,43896,170285,12480,154316,57481,0,54052,0,9414
2017-01-14,258012,0,0,127404,144535,88124,0,63253,147832,5875,221410,81572,157760,48820,0,47795,53996,29138
2017-01-15,0,0,0,220355,101850,89502,13704,115048,75112,0,299426,84969,134944,63783,51723,49791,46940,39385
2017-01-16,5646,0,0,163257,0,87436,35094,82721,211594,58092,41144,99852,76843,52375,73482,53091,67797,65877
2017-01-17,289227,0,0,142817,72861,103593,2094,66548,212837,52293,98047,90253,0,116070,0,57611,46108,16561
2017-01-18,303288,0,0,171400,0,107126,11481,50773,192785,0,47451,70572,71143,100690,0,53086,45278,7167
2017-01-19,212978,43477,0,0,60368,88011,0,75187,184436,67885,10012,94817,57640,104530,99445,53159,55117,25639
2017-01-20,5206,20326,0,137132,0,92355,0,40301,139564,71415,0,65265,0,81556,0,49610,0,37267
2017-01-21,154207,10511,0,159365,29608,98466,0,0,0,0,0,0,0,74665,0,67273,59584,31647
2017-01-22,192872,0,0,193867,104901,99586,0,57717,130416,0,14197,90336,0,64492,0,53817,57819,36629
2017-01-23,260172,0,0,166707,79323,109816,0,30693,39043,54952,5638,93459,0,34415,0,56037,48211,40623
2017-01-24,258467,0,0,314006,0,81070,0,53222,224408,54794,18791,56364,0,86772,0,110670,56661,45844
2017-01-25,268310,0,0,190763,48323,111704,0,54698,94132,81056,37721,77680,101714,112380,150183,74563,66191,82298
2017-01-26,299233,0,0,0,25562,99661,0,75247,175666,59401,34514,74662,60838,165190,0,76440,50617,86190
2017-01-27,0,0,0,193270,0,113895,0,60742,114456,55270,13394,34358,71921,124351,0,50420,0,46130
2017-01-28,142272,0,0,185467,36355,79842,0,58850,57124,3141,68139,0,63332,62254,0,79867,60787,0
